sum_error,avg_error,probe_selection,probe_set_number,distance_function,threshold,alpha,104.16.123.96,192.112.36.4,192.203.230.10,192.33.4.12,192.36.148.17,192.5.5.241,192.58.128.30,193.0.14.129,198.41.0.4,198.97.190.53,199.7.83.42,199.7.91.13,199.9.14.201,202.12.27.33
1.5587811013039845,0.11134150723599891,area,500,constant_1.52,20,0.8,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.5587811013039845,0.11134150723599891,area,500,constant_1.52,10,0.9,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.5587811013039845,0.11134150723599891,area,500,constant_1.52,10,0.8,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.5587811013039845,0.11134150723599891,area,500,constant_1.52,-1,0.9,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.5587811013039845,0.11134150723599891,area,500,constant_1.52,-1,0.8,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.60225936217355,0.1144470972981107,area,500,constant_1.52,30,0.7,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.08695652173913038,0.5,0.5
1.60225936217355,0.1144470972981107,area,500,constant_1.52,20,0.7,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.08695652173913038,0.5,0.5
1.60225936217355,0.1144470972981107,area,500,constant_1.52,10,0.7,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.08695652173913038,0.5,0.5
1.60225936217355,0.1144470972981107,area,500,constant_1.52,-1,0.7,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.08695652173913038,0.5,0.5
1.6040262654965172,0.11457330467832265,area,500,constant_1.52,30,1,0.0,0.0,0.038461538461538436,0.0,0.125,0.0625,0.10526315789473684,0.1578947368421053,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.6040262654965172,0.11457330467832265,area,500,constant_1.52,20,1,0.0,0.0,0.038461538461538436,0.0,0.125,0.0625,0.10526315789473684,0.1578947368421053,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.6040262654965172,0.11457330467832265,area,500,constant_1.52,10,1,0.0,0.0,0.038461538461538436,0.0,0.125,0.0625,0.10526315789473684,0.1578947368421053,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.6040262654965172,0.11457330467832265,area,500,constant_1.52,-1,1,0.0,0.0,0.038461538461538436,0.0,0.125,0.0625,0.10526315789473684,0.1578947368421053,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.6128968253968254,0.11520691609977325,area,1000,constant_1.52,1,0.1,0.1428571428571429,0.0,0.09999999999999998,0.0,0.0,0.11111111111111116,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.6628968253968255,0.11877834467120182,area,1000,constant_1.52,1,0,0.1428571428571429,0.0,0.15000000000000002,0.0,0.0,0.11111111111111116,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
