,target,probes_file,probe_selection,probe_set_number,threshold,alpha,Accuracy,Precision,Recall,F1,distance_function,gt_instances_in_region,filename
11,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.0,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.0_5.0_0_root_servers_M.json
12,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.0_5.0_0_root_servers_M.json
13,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.1,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.1_5.0_0_root_servers_M.json
14,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.1,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.1_5.0_0_root_servers_M.json
15,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.2,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.2_5.0_0_root_servers_M.json
16,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.2,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.2_5.0_0_root_servers_M.json
17,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.3,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.3_5.0_0_root_servers_M.json
18,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.3,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.3_5.0_0_root_servers_M.json
19,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.4,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.4_5.0_0_root_servers_M.json
20,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.4,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.4_5.0_0_root_servers_M.json
21,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.5,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.5_5.0_0_root_servers_M.json
22,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.5,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.5_5.0_0_root_servers_M.json
23,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.6,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.6_5.0_0_root_servers_M.json
24,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.6,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.6_5.0_0_root_servers_M.json
25,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.7,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.7_5.0_0_root_servers_M.json
26,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.7,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.7_5.0_0_root_servers_M.json
27,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.8,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.8_5.0_0_root_servers_M.json
28,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.8,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.8_5.0_0_root_servers_M.json
29,202.12.27.33,North-Central_500.json,area,500.0,5.0,0.9,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_0.9_5.0_0_root_servers_M.json
30,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,0.9,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.9_5.0_0_root_servers_M.json
31,202.12.27.33,North-Central_500.json,area,500.0,5.0,1.0,0.5,0.5,1.0,0.6666666666666666,verloc_aprox,1,202.12.27.33_North-Central_500_52101224_1.0_5.0_0_root_servers_M.json
32,202.12.27.33,North-Central_1000.json,area,1000.0,5.0,1.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_1.0_5.0_0_root_servers_M.json
33,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.0_10.0_0_root_servers_M.json
34,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.1,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.1_10.0_0_root_servers_M.json
35,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.2,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.2_10.0_0_root_servers_M.json
36,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.3,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.3_10.0_0_root_servers_M.json
37,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.4,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.4_10.0_0_root_servers_M.json
38,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.5,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.5_10.0_0_root_servers_M.json
39,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.6,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.6_10.0_0_root_servers_M.json
40,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.7,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.7_10.0_0_root_servers_M.json
41,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.8,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.8_10.0_0_root_servers_M.json
42,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,0.9,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.9_10.0_0_root_servers_M.json
43,202.12.27.33,North-Central_1000.json,area,1000.0,10.0,1.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_1.0_10.0_0_root_servers_M.json
44,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.0_20.0_0_root_servers_M.json
45,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.1,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.1_20.0_0_root_servers_M.json
46,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.2,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.2_20.0_0_root_servers_M.json
47,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.3,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.3_20.0_0_root_servers_M.json
48,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.4,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.4_20.0_0_root_servers_M.json
49,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.5,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.5_20.0_0_root_servers_M.json
50,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.6,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.6_20.0_0_root_servers_M.json
51,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.7,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.7_20.0_0_root_servers_M.json
52,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.8,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.8_20.0_0_root_servers_M.json
53,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,0.9,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.9_20.0_0_root_servers_M.json
54,202.12.27.33,North-Central_1000.json,area,1000.0,20.0,1.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_1.0_20.0_0_root_servers_M.json
55,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.0_30.0_0_root_servers_M.json
